 PWM (µs), RPM, Current (A), Voltage (V), Power (W), Force (Kg f), Efficiency (g/W)
1100,3643,28.22,18,507.9,-4.59,9.0
1104,3643,27.91,18,502.4,-4.54,9.0
1108,3624,27.31,18,491.6,-4.53,9.2
1112,3607,26.62,18,479.2,-4.48,9.3
1116,3578,26.04,18,468.7,-4.42,9.4
1120,3563,25.38,18,456.8,-4.35,9.5
1124,3528,24.8,18,446.4,-4.35,9.7
1128,3520,24.03,18,432.5,-4.17,9.6
1132,3483,23.53,18,423.5,-4.18,9.9
1136,3470,22.78,18,410.0,-4.11,10.0
1140,3441,22.21,18,399.8,-4.04,10.1
1144,3422,21.5,18,387.0,-3.99,10.3
1148,3420,20.61,18,371.0,-3.91,10.6
1152,3375,20.17,18,363.1,-3.86,10.6
1156,3343,19.51,18,351.2,-3.81,10.8
1160,3316,18.85,18,339.3,-3.71,10.9
1164,3273,18.23,18,328.1,-3.68,11.2
1168,3248,17.57,18,316.3,-3.56,11.2
1172,3195,17.12,18,308.2,-3.54,11.5
1176,3193,16.34,18,294.1,-3.42,11.6
1180,3153,15.8,18,284.4,-3.36,11.8
1184,3127,15.19,18,273.4,-3.27,11.9
1188,3087,14.69,18,264.4,-3.19,12.1
1192,3057,14.16,18,254.9,-3.09,12.1
1196,3022,13.68,18,246.2,-3.03,12.3
1200,2985,13.27,18,238.9,-2.96,12.4
1204,2958,12.83,18,230.9,-2.88,12.5
1208,2925,12.36,18,222.5,-2.84,12.8
1212,2896,11.99,18,215.8,-2.78,12.9
1216,2866,11.58,18,208.4,-2.70,12.9
1220,2829,11.32,18,203.8,-2.66,13.0
1224,2806,11,18,198.0,-2.59,13.1
1228,2785,10.65,18,191.7,-2.53,13.2
1232,2756,10.27,18,184.9,-2.48,13.4
1236,2720,9.97,18,179.5,-2.42,13.5
1240,2695,9.55,18,171.9,-2.36,13.7
1244,2673,9.2,18,165.6,-2.32,14.0
1248,2638,8.87,18,159.7,-2.25,14.1
1252,2603,8.54,18,153.7,-2.21,14.4
1256,2572,8.19,18,147.4,-2.16,14.6
1260,2549,7.77,18,139.9,-2.11,15.1
1264,2514,7.39,18,133.0,-2.04,15.3
1268,2488,7,18,126.0,-2.00,15.8
1272,2444,6.65,18,119.7,-1.94,16.2
1276,2411,6.3,18,113.4,-1.88,16.6
1280,2379,6,18,108.0,-1.81,16.8
1284,2343,5.75,18,103.5,-1.76,17.0
1288,2310,5.5,18,99.0,-1.72,17.4
1292,2283,5.23,18,94.1,-1.66,17.6
1296,2247,5,18,90.0,-1.61,17.9
1300,2218,4.79,18,86.2,-1.56,18.1
1304,2178,4.59,18,82.6,-1.52,18.4
1308,2155,4.3,18,77.4,-1.47,18.9
1312,2123,4.1,18,73.8,-1.42,19.3
1316,2089,3.9,18,70.2,-1.38,19.6
1320,2046,3.68,18,66.2,-1.33,20.1
1324,2013,3.4,18,61.2,-1.27,20.8
1328,1974,3.3,18,59.4,-1.22,20.6
1332,1937,3.1,18,55.8,-1.17,21.1
1336,1896,2.9,18,52.2,-1.13,21.7
1340,1871,2.73,18,49.1,-1.08,22.1
1344,1832,2.5,18,45.0,-1.05,23.3
1348,1796,2.3,18,41.4,-1.01,24.4
1352,1765,2.14,18,38.5,-0.97,25.2
1356,1733,2,18,36.0,-0.93,26.0
1360,1697,1.9,18,34.2,-0.89,26.1
1364,1659,1.76,18,31.7,-0.86,27.1
1368,1611,1.6,18,28.8,-0.81,28.2
1372,1575,1.5,18,27.0,-0.77,28.6
1376,1539,1.4,18,25.2,-0.74,29.3
1380,1507,1.3,18,23.4,-0.70,29.9
1384,1469,1.2,18,21.6,-0.67,31.1
1388,1428,1.1,18,19.8,-0.64,32.1
1392,1390,1,18,18.0,-0.60,33.3
1396,1344,0.8,18,14.4,-0.56,38.7
1400,1308,0.8,18,14.4,-0.53,36.9
1404,1270,0.7,18,12.6,-0.49,39.2
1408,1229,0.63,18,11.3,-0.46,40.8
1412,1178,0.53,18,9.5,-0.43,45.2
1416,1136,0.5,18,9.0,-0.40,44.4
1420,1090,0.4,18,7.2,-0.37,51.0
1424,1039,0.4,18,7.2,-0.34,46.6
1428,989,0.3,18,5.4,-0.30,56.3
1432,935,0.3,18,5.4,-0.27,50.4
1436,884,0.2,18,3.6,-0.24,66.8
1440,823,0.2,18,3.6,-0.21,58.0
1444,760,0.2,18,3.6,-0.18,50.4
1448,703,0.1,18,1.8,-0.15,85.7
1452,638,0.1,18,1.8,-0.13,70.6
1456,575,0.1,18,1.8,-0.10,58.0
1460,501,0.05,18,0.9,-0.08,85.7
1464,428,0.05,18,0.9,-0.06,65.5
1468,357,0.05,18,0.9,-0.05,50.4
1472,0,0,18,0.0,0.00,0.0
1476,0,0,18,0.0,0.00,0.0
1480,0,0,18,0.0,0.00,0.0
1484,0,0,18,0.0,0.00,0.0
1488,0,0,18,0.0,0.00,0.0
1492,0,0,18,0.0,0.00,0.0
1496,0,0,18,0.0,0.00,0.0
1500,0,0,18,0.0,0.00,0.0
1504,0,0,18,0.0,0.00,0.0
1508,0,0,18,0.0,0.00,0.0
1512,0,0,18,0.0,0.00,0.0
1516,0,0,18,0.0,0.00,0.0
1520,0,0,18,0.0,0.00,0.0
1524,0,0,18,0.0,0.00,0.0
1528,0,0,18,0.0,0.00,0.0
1532,347,0.05,18,0.9,0.05,50.4
1536,424,0.05,18,0.9,0.07,75.6
1540,494,0.05,18,0.9,0.09,100.8
1544,562,0.1,18,1.8,0.12,68.0
1548,624,0.1,18,1.8,0.15,83.2
1552,686,0.1,18,1.8,0.18,100.8
1556,745,0.2,18,3.6,0.21,59.2
1560,805,0.2,18,3.6,0.25,69.3
1564,856,0.2,18,3.6,0.29,79.4
1568,906,0.3,18,5.4,0.32,58.8
1572,959,0.3,18,5.4,0.36,66.4
1576,1009,0.4,18,7.2,0.39,54.2
1580,1052,0.4,18,7.2,0.43,59.2
1584,1099,0.5,18,9.0,0.47,52.4
1588,1140,0.5,18,9.0,0.51,56.4
1592,1184,0.6,18,10.8,0.55,50.8
1596,1227,0.7,18,12.6,0.59,46.4
