 PWM (µs), RPM, Current (A), Voltage (V), Power (W), Force (Kg f), Efficiency (g/W),,
1100,3783,32.17,20,643.5,-5.04,7.8,,
1104,3777,31.37,20,627.4,-4.96,7.9,,
1108,3740,30.6,20,612.0,-4.92,8.0,,
1112,3741,29.67,20,593.4,-4.84,8.2,,
1116,3712,29.04,20,580.8,-4.79,8.3,,
1120,3681,28.26,20,565.2,-4.74,8.4,,
1124,3639,27.56,20,551.2,-4.68,8.5,,
1128,3642,26.74,20,534.8,-4.58,8.6,,
1132,3624,25.82,20,516.4,-4.46,8.6,,
1136,3569,25.16,20,503.2,-4.40,8.8,,
1140,3558,24.45,20,489.0,-4.35,8.9,,
1144,3571,23.54,20,470.8,-4.23,9.0,,
1148,3498,23.08,20,461.6,-4.16,9.0,,
1152,3449,22.46,20,449.2,-4.12,9.2,,
1156,3457,21.63,20,432.6,-4.02,9.3,,
1160,3390,21,20,420.0,-3.96,9.4,,
1164,3385,20.3,20,406.0,-3.89,9.6,,
1168,3335,19.65,20,393.0,-3.81,9.7,,
1172,3315,19,20,380.0,-3.71,9.8,,
1176,3293,18.36,20,367.2,-3.66,10.0,,
1180,3250,17.75,20,355.0,-3.56,10.0,,
1184,3211,17.11,20,342.2,-3.48,10.2,,
1188,3184,16.43,20,328.6,-3.36,10.2,,
1192,3139,15.81,20,316.2,-3.29,10.4,,
1196,3107,15.23,20,304.6,-3.16,10.4,,
1200,3046,14.74,20,294.8,-3.13,10.6,,
1204,3034,14.12,20,282.4,-3.00,10.6,,
1208,2983,13.66,20,273.2,-2.94,10.8,,
1212,2952,13.22,20,264.4,-2.87,10.9,,
1216,2927,12.69,20,253.8,-2.78,10.9,,
1220,2891,12.36,20,247.2,-2.74,11.1,,
1224,2856,12.01,20,240.2,-2.67,11.1,,
1228,2824,11.57,20,231.4,-2.60,11.3,,
1232,2797,11.27,20,225.4,-2.54,11.3,,
1236,2766,10.84,20,216.8,-2.50,11.5,,
1240,2731,10.54,20,210.8,-2.44,11.6,,
1244,2698,10.22,20,204.4,-2.40,11.8,,
1248,2679,9.77,20,195.4,-2.31,11.8,,
1252,2636,9.4,20,188.0,-2.26,12.0,,
1256,2623,8.96,20,179.2,-2.20,12.3,,
1260,2579,8.6,20,172.0,-2.14,12.4,,
1264,2554,8.29,20,165.8,-2.11,12.7,,
1268,2523,7.87,20,157.4,-2.04,13.0,,
1272,2487,7.48,20,149.6,-1.97,13.2,,
1276,2453,7.03,20,140.6,-1.91,13.6,,
1280,2414,6.6,20,132.0,-1.86,14.1,,
1284,2367,6.3,20,126.0,-1.80,14.3,,
1288,2346,5.97,20,119.4,-1.73,14.5,,
1292,2300,5.7,20,114.0,-1.67,14.7,,
